tranx_date,tranx_date,symbol,open,close,low,high,vol,vwap,trade_count
2018-02-16 00:00:00-05:00,2018-02-16 00:00:00-05:00,GLP,17.5,17.4,17.3,17.8,39671.0,17.564106,322.0
2018-02-20 00:00:00-05:00,2018-02-20 00:00:00-05:00,GLP,17.25,17.25,17.25,17.9,47607.0,17.506793,478.0
2018-02-21 00:00:00-05:00,2018-02-21 00:00:00-05:00,GLP,17.15,17.05,17.0,17.25,34684.0,17.130184,287.0
2018-02-22 00:00:00-05:00,2018-02-22 00:00:00-05:00,GLP,17.0,16.9,16.8,17.45,66929.0,17.041227,413.0
2018-02-23 00:00:00-05:00,2018-02-23 00:00:00-05:00,GLP,16.85,16.7,16.7,16.9719,48874.0,16.815665,283.0
2018-02-26 00:00:00-05:00,2018-02-26 00:00:00-05:00,GLP,16.6,16.8,16.5,16.9,50263.0,16.719093,311.0
2018-02-27 00:00:00-05:00,2018-02-27 00:00:00-05:00,GLP,16.8,16.4,16.2825,16.8,42015.0,16.443531,264.0
2018-02-28 00:00:00-05:00,2018-02-28 00:00:00-05:00,GLP,16.35,16.35,16.25,16.9,100338.0,16.502357,578.0
2018-03-01 00:00:00-05:00,2018-03-01 00:00:00-05:00,GLP,16.35,16.35,16.1,16.5,53308.0,16.302149,293.0
2018-03-02 00:00:00-05:00,2018-03-02 00:00:00-05:00,GLP,16.25,16.3,16.0,16.5,49042.0,16.26141,289.0
2018-03-05 00:00:00-05:00,2018-03-05 00:00:00-05:00,GLP,16.3,16.2,16.1,16.6,48994.0,16.330615,275.0
2018-03-06 00:00:00-05:00,2018-03-06 00:00:00-05:00,GLP,16.2,16.05,16.0,16.325,47047.0,16.147205,239.0
2018-03-07 00:00:00-05:00,2018-03-07 00:00:00-05:00,GLP,16.0,16.25,16.0,16.45,50359.0,16.230255,310.0
2018-03-08 00:00:00-05:00,2018-03-08 00:00:00-05:00,GLP,16.75,16.15,16.1,16.75,42808.0,16.254826,238.0
2018-03-09 00:00:00-05:00,2018-03-09 00:00:00-05:00,GLP,16.2,16.5,16.15,16.55,58455.0,16.32944,434.0
2018-03-12 00:00:00-04:00,2018-03-12 00:00:00-04:00,GLP,16.8,17.65,16.5825,18.15,169958.0,17.503808,1110.0
2018-03-13 00:00:00-04:00,2018-03-13 00:00:00-04:00,GLP,17.25,17.4,16.75,17.5,166164.0,17.24666,1062.0
2018-03-14 00:00:00-04:00,2018-03-14 00:00:00-04:00,GLP,17.4,16.85,16.7,17.55,125295.0,16.909471,964.0
